5, 10, 128, 128, 0.001, 5000, 1.0
5, 10, 128, 128, 0.001, 5000, 1.0
6, 10, 128, 128, 0.001, 5000, 1.0
7, 10, 128, 128, 0.001, 5000, 1.0
8, 10, 128, 128, 0.001, 5000, 1.0
9, 10, 128, 128, 0.001, 5000, 1.0
10, 10, 128, 128, 0.001, 5000, 1.0
11, 10, 128, 128, 0.001, 5000, 1.0
12, 10, 128, 128, 0.001, 5000, 1.0
13, 10, 128, 128, 0.001, 5000, 1.0
14, 10, 128, 128, 0.001, 5000, 1.0
15, 10, 128, 128, 0.001, 5000, 1.0
10, 10, 128, 128, 0.001, 2000, 1.0
10, 10, 128, 128, 0.01, 2000, 1.0
10, 10, 128, 128, 0.025, 2000, 1.0
10, 10, 128, 128, 0.0001, 2000, 1.0
10, 10, 128, 128, 0.001, 500, 1.0
10, 10, 128, 128, 0.01, 500, 1.0
10, 10, 128, 128, 0.025, 500, 1.0
10, 10, 128, 128, 0.0001, 500, 0.5
